phase,amp
0.0,0.999
0.002,0.999
0.004,0.998
0.006,0.997
0.008,0.995
0.01,0.994
0.012,0.992
0.014,0.99
0.016,0.987
0.018,0.985
0.02,0.982
0.022,0.98
0.024,0.977
0.026,0.974
0.028,0.97
0.03,0.967
0.032,0.964
0.034,0.961
0.036,0.957
0.038,0.953
0.04,0.949
0.042,0.945
0.044,0.9410000000000001
0.046,0.937
0.048,0.933
0.05,0.928
0.052,0.923
0.054,0.918
0.056,0.913
0.058,0.908
0.06,0.902
0.062,0.897
0.064,0.891
0.066,0.885
0.068,0.879
0.07,0.873
0.072,0.867
0.074,0.861
0.076,0.855
0.078,0.849
0.08,0.842
0.082,0.836
0.084,0.83
0.086,0.8240000000000001
0.088,0.8180000000000001
0.09,0.813
0.092,0.8069999999999999
0.094,0.802
0.096,0.796
0.098,0.791
0.1,0.786
0.102,0.781
0.104,0.776
0.106,0.771
0.108,0.766
0.11,0.761
0.112,0.756
0.114,0.751
0.116,0.747
0.118,0.742
0.12,0.738
0.122,0.734
0.124,0.729
0.126,0.725
0.128,0.721
0.13,0.7170000000000001
0.132,0.714
0.134,0.71
0.136,0.706
0.138,0.7030000000000001
0.14,0.6990000000000001
0.142,0.696
0.144,0.6930000000000001
0.146,0.6890000000000001
0.148,0.6859999999999999
0.15,0.683
0.152,0.679
0.154,0.6759999999999999
0.156,0.673
0.158,0.6699999999999999
0.16,0.6659999999999999
0.162,0.663
0.164,0.6599999999999999
0.166,0.657
0.168,0.653
0.17,0.65
0.172,0.647
0.174,0.644
0.176,0.64
0.178,0.637
0.18,0.634
0.182,0.63
0.184,0.627
0.186,0.624
0.188,0.62
0.19,0.617
0.192,0.614
0.194,0.61
0.196,0.607
0.198,0.603
0.2,0.6
0.202,0.597
0.204,0.593
0.206,0.5900000000000001
0.208,0.587
0.21,0.583
0.212,0.5800000000000001
0.214,0.5760000000000001
0.216,0.573
0.218,0.5700000000000001
0.22,0.5660000000000001
0.222,0.563
0.224,0.5589999999999999
0.226,0.556
0.228,0.5529999999999999
0.23,0.55
0.232,0.546
0.234,0.5429999999999999
0.236,0.54
0.238,0.5369999999999999
0.24,0.534
0.242,0.53
0.244,0.527
0.246,0.524
0.248,0.521
0.25,0.518
0.252,0.515
0.254,0.512
0.256,0.509
0.258,0.506
0.26,0.503
0.262,0.5
0.264,0.497
0.266,0.494
0.268,0.492
0.27,0.489
0.272,0.486
0.274,0.483
0.276,0.481
0.278,0.478
0.28,0.475
0.282,0.472
0.284,0.47
0.286,0.46699999999999997
0.288,0.46399999999999997
0.29,0.46199999999999997
0.292,0.45899999999999996
0.294,0.45699999999999996
0.296,0.45399999999999996
0.298,0.45099999999999996
0.3,0.44899999999999995
0.302,0.44599999999999995
0.304,0.44399999999999995
0.306,0.44099999999999995
0.308,0.43799999999999994
0.31,0.43600000000000005
0.312,0.43300000000000005
0.314,0.43100000000000005
0.316,0.42800000000000005
0.318,0.42500000000000004
0.32,0.42300000000000004
0.322,0.42000000000000004
0.324,0.41800000000000004
0.326,0.41500000000000004
0.328,0.41200000000000003
0.33,0.41000000000000003
0.332,0.40700000000000003
0.334,0.405
0.336,0.402
0.338,0.399
0.34,0.397
0.342,0.394
0.344,0.392
0.346,0.389
0.348,0.386
0.35,0.384
0.352,0.381
0.354,0.379
0.356,0.376
0.358,0.373
0.36,0.371
0.362,0.368
0.364,0.366
0.366,0.363
0.368,0.36
0.37,0.358
0.372,0.355
0.374,0.353
0.376,0.35
0.378,0.347
0.38,0.345
0.382,0.34199999999999997
0.384,0.33999999999999997
0.386,0.33699999999999997
0.388,0.33499999999999996
0.39,0.33199999999999996
0.392,0.32899999999999996
0.394,0.32699999999999996
0.396,0.32399999999999995
0.398,0.32199999999999995
0.4,0.31899999999999995
0.402,0.31699999999999995
0.404,0.31399999999999995
0.406,0.31200000000000006
0.408,0.30900000000000005
0.41,0.30700000000000005
0.412,0.30400000000000005
0.414,0.30200000000000005
0.416,0.29900000000000004
0.418,0.29700000000000004
0.42,0.29400000000000004
0.422,0.29200000000000004
0.424,0.28900000000000003
0.426,0.28700000000000003
0.428,0.28400000000000003
0.43,0.28200000000000003
0.432,0.279
0.434,0.277
0.436,0.274
0.438,0.272
0.44,0.269
0.442,0.267
0.444,0.265
0.446,0.262
0.448,0.26
0.45,0.257
0.452,0.255
0.454,0.253
0.456,0.251
0.458,0.248
0.46,0.246
0.462,0.244
0.464,0.242
0.466,0.24
0.468,0.237
0.47,0.235
0.472,0.23299999999999998
0.474,0.23099999999999998
0.476,0.22899999999999998
0.478,0.22699999999999998
0.48,0.22499999999999998
0.482,0.22299999999999998
0.484,0.22099999999999997
0.486,0.21899999999999997
0.488,0.21699999999999997
0.49,0.21499999999999997
0.492,0.21299999999999997
0.494,0.21099999999999997
0.496,0.20899999999999996
0.498,0.20699999999999996
0.5,0.20599999999999996
0.502,0.20399999999999996
0.504,0.20199999999999996
0.506,0.19999999999999996
0.508,0.19899999999999995
0.51,0.19699999999999995
0.512,0.19499999999999995
0.514,0.19399999999999995
0.516,0.19199999999999995
0.518,0.18999999999999995
0.52,0.18899999999999995
0.522,0.18700000000000006
0.524,0.18600000000000005
0.526,0.18400000000000005
0.528,0.18300000000000005
0.53,0.18200000000000005
0.532,0.18000000000000005
0.534,0.17900000000000005
0.536,0.17800000000000005
0.538,0.17700000000000005
0.54,0.17500000000000004
0.542,0.17400000000000004
0.544,0.17300000000000004
0.546,0.17200000000000004
0.548,0.17100000000000004
0.55,0.17000000000000004
0.552,0.16900000000000004
0.554,0.16800000000000004
0.556,0.16700000000000004
0.558,0.16600000000000004
0.56,0.16500000000000004
0.562,0.16400000000000003
0.564,0.16400000000000003
0.566,0.16300000000000003
0.568,0.16200000000000003
0.57,0.16100000000000003
0.572,0.16100000000000003
0.574,0.16000000000000003
0.576,0.15900000000000003
0.578,0.15900000000000003
0.58,0.15800000000000003
0.582,0.15800000000000003
0.584,0.15700000000000003
0.586,0.15700000000000003
0.588,0.15600000000000003
0.59,0.15600000000000003
0.592,0.15500000000000003
0.594,0.15500000000000003
0.596,0.15500000000000003
0.598,0.15400000000000003
0.6,0.15400000000000003
0.602,0.15400000000000003
0.604,0.15300000000000002
0.606,0.15300000000000002
0.608,0.15300000000000002
0.61,0.15300000000000002
0.612,0.15200000000000002
0.614,0.15200000000000002
0.616,0.15200000000000002
0.618,0.15200000000000002
0.62,0.15200000000000002
0.622,0.15200000000000002
0.624,0.15200000000000002
0.626,0.15100000000000002
0.628,0.15100000000000002
0.63,0.15100000000000002
0.632,0.15100000000000002
0.634,0.15100000000000002
0.636,0.15200000000000002
0.638,0.15200000000000002
0.64,0.15200000000000002
0.642,0.15200000000000002
0.644,0.15200000000000002
0.646,0.15200000000000002
0.648,0.15200000000000002
0.65,0.15200000000000002
0.652,0.15300000000000002
0.654,0.15300000000000002
0.656,0.15300000000000002
0.658,0.15300000000000002
0.66,0.15300000000000002
0.662,0.15400000000000003
0.664,0.15400000000000003
0.666,0.15400000000000003
0.668,0.15400000000000003
0.67,0.15500000000000003
0.672,0.15500000000000003
0.674,0.15500000000000003
0.676,0.15600000000000003
0.678,0.15600000000000003
0.68,0.15600000000000003
0.682,0.15700000000000003
0.684,0.15700000000000003
0.686,0.15700000000000003
0.688,0.15800000000000003
0.69,0.15800000000000003
0.692,0.15800000000000003
0.694,0.15900000000000003
0.696,0.15900000000000003
0.698,0.16000000000000003
0.7,0.16000000000000003
0.702,0.16000000000000003
0.704,0.16100000000000003
0.706,0.16100000000000003
0.708,0.16200000000000003
0.71,0.16200000000000003
0.712,0.16300000000000003
0.714,0.16300000000000003
0.716,0.16400000000000003
0.718,0.16400000000000003
0.72,0.16400000000000003
0.722,0.16500000000000004
0.724,0.16500000000000004
0.726,0.16500000000000004
0.728,0.16500000000000004
0.73,0.16500000000000004
0.732,0.16500000000000004
0.734,0.16500000000000004
0.736,0.16500000000000004
0.738,0.16400000000000003
0.74,0.16400000000000003
0.742,0.16300000000000003
0.744,0.16200000000000003
0.746,0.16200000000000003
0.748,0.16100000000000003
0.75,0.16000000000000003
0.752,0.15900000000000003
0.754,0.15800000000000003
0.756,0.15700000000000003
0.758,0.15500000000000003
0.76,0.15400000000000003
0.762,0.15300000000000002
0.764,0.15100000000000002
0.766,0.15000000000000002
0.768,0.14800000000000002
0.77,0.14600000000000002
0.772,0.14400000000000002
0.774,0.14200000000000002
0.776,0.14
0.778,0.138
0.78,0.136
0.782,0.134
0.784,0.131
0.786,0.129
0.788,0.126
0.79,0.124
0.792,0.121
0.794,0.119
0.796,0.11599999999999999
0.798,0.11299999999999999
0.8,0.10999999999999999
0.802,0.10799999999999998
0.804,0.10499999999999998
0.806,0.10199999999999998
0.808,0.09899999999999998
0.81,0.09599999999999997
0.812,0.09299999999999997
0.814,0.08999999999999997
0.816,0.08599999999999997
0.818,0.08299999999999996
0.82,0.07999999999999996
0.822,0.07699999999999996
0.824,0.07299999999999995
0.826,0.06999999999999995
0.828,0.06699999999999995
0.83,0.06299999999999994
0.832,0.06000000000000005
0.834,0.05600000000000005
0.836,0.05300000000000005
0.838,0.049000000000000044
0.84,0.04600000000000004
0.842,0.04200000000000004
0.844,0.038000000000000034
0.846,0.03500000000000003
0.848,0.031000000000000028
0.85,0.027000000000000024
0.852,0.02300000000000002
0.854,0.019000000000000017
0.856,0.015000000000000013
0.858,0.01100000000000001
0.86,0.008000000000000007
0.862,0.0050000000000000044
0.864,0.0020000000000000018
0.866,0.0010000000000000009
0.868,0.0
0.87,0.0
0.872,0.0020000000000000018
0.874,0.0040000000000000036
0.876,0.008000000000000007
0.878,0.013000000000000012
0.88,0.019000000000000017
0.882,0.026000000000000023
0.884,0.03300000000000003
0.886,0.04200000000000004
0.888,0.052000000000000046
0.89,0.062000000000000055
0.892,0.07299999999999995
0.894,0.08499999999999996
0.896,0.09799999999999998
0.898,0.11199999999999999
0.9,0.126
0.902,0.14200000000000002
0.904,0.15800000000000003
0.906,0.17600000000000005
0.908,0.19499999999999995
0.91,0.21499999999999997
0.912,0.237
0.914,0.259
0.916,0.28300000000000003
0.918,0.30800000000000005
0.92,0.33399999999999996
0.922,0.36
0.924,0.388
0.926,0.41500000000000004
0.928,0.44299999999999995
0.93,0.471
0.932,0.499
0.934,0.527
0.936,0.5549999999999999
0.938,0.5820000000000001
0.94,0.609
0.942,0.635
0.944,0.661
0.946,0.6859999999999999
0.948,0.71
0.95,0.733
0.952,0.755
0.954,0.776
0.956,0.795
0.958,0.8140000000000001
0.96,0.831
0.962,0.848
0.964,0.863
0.966,0.878
0.968,0.892
0.97,0.905
0.972,0.917
0.974,0.929
0.976,0.94
0.978,0.949
0.98,0.959
0.982,0.967
0.984,0.974
0.986,0.981
0.988,0.986
0.99,0.991
0.992,0.995
0.994,0.997
0.996,0.999
0.998,1.0
